state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,population_estimates,persons_under_5_years_%,persons_under_18_years_%,persons_65_years_and_over_%,female_persons_%,white_alone_%,black_or_african_american_alone_%,american_indian_and_alaska_native_alone_%,asian_alone_%,native_hawaiian_and_other_pacific_islander_alone_%,two_or_more_races_%,hispanic_or_latino_%,white_alone_not_hispanic_or_latino_%,housing_units,building_permits_2016
new_mexico,1103.0,0.0,5380.0,3966.0,475.0,300.0,0.0,2.0,2.0,0.0,483.0,462.0,1.0,36.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,12219.0,2081015.0,6.2,23.599999999999998,16.5,50.5,82.6,2.5,10.6,1.7000000000000002,0.2,2.5,48.5,38.1,917568.0,4863.0
new_york,3738.0,0.0,10900.0,13073.0,1131.0,204.0,0.0,1.0,0.0,0.0,16.0,10.0,5.0,0.0,1.0,0.0,265.0,149.0,12.0,4.0,3.0,1.0,29513.0,19745289.0,5.8999999999999995,21.2,15.4,51.4,69.89999999999999,17.7,1.0,8.9,0.1,2.5,19.0,55.800000000000004,8231687.0,33711.0
north_carolina,25408.0,0.0,1157.0,12487.0,1025.0,215.0,0.0,11.0,8.0,1.0,1860.0,1923.0,10.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,1.0,0.0,44123.0,10146788.0,6.0,22.7,15.5,51.4,71.0,22.2,1.6,2.9000000000000004,0.1,2.1999999999999997,9.2,63.5,4540498.0,60550.0
north_dakota,1305.0,0.0,1333.0,2457.0,116.0,64.0,0.0,0.0,3.0,0.0,67.0,118.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5470.0,757952.0,7.3,23.3,14.499999999999998,48.699999999999996,87.9,2.9000000000000004,5.5,1.5,0.1,2.1,3.5999999999999996,85.0,368624.0,3981.0
ohio,11762.0,55.0,27876.0,17720.0,2166.0,1232.0,0.0,8.0,1.0,0.0,1445.0,796.0,6.0,20.0,2.0,0.0,44.0,12.0,1.0,1.0,1.0,0.0,63148.0,11614373.0,6.0,22.5,16.2,51.0,82.5,12.8,0.3,2.1999999999999997,0.1,2.1999999999999997,3.6999999999999997,79.5,5164361.0,22816.0
oklahoma,0.0,0.0,11750.0,8792.0,1139.0,752.0,0.0,17.0,10.0,1.0,1826.0,1585.0,8.0,0.0,0.0,0.0,33.0,25.0,6.0,2.0,0.0,0.0,25946.0,3923561.0,6.800000000000001,24.5,15.0,50.5,74.6,7.8,9.2,2.1999999999999997,0.2,6.1,10.299999999999999,66.2,1721045.0,12092.0
oregon,21.0,0.0,14284.0,10507.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24813.0,4093465.0,5.800000000000001,21.2,16.8,50.5,87.4,2.1,1.7999999999999998,4.5,0.4,3.8,12.8,76.4,1732786.0,19586.0
pennsylvania,26819.0,0.0,46843.0,11793.0,19.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86137.0,12784227.0,5.6000000000000005,20.9,17.4,51.0,82.39999999999999,11.799999999999999,0.4,3.5000000000000004,0.1,1.9,7.000000000000001,77.0,5612002.0,23303.0
rhode_island,0.0,0.0,1133.0,951.0,101.0,155.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,2.0,11.0,2.0,3.0,0.0,0.0,0.0,2368.0,1056426.0,5.2,19.7,16.5,51.4,84.39999999999999,8.1,1.0,3.5999999999999996,0.2,2.7,14.899999999999999,73.3,462589.0,1226.0
south_carolina,14025.0,0.0,9967.0,5880.0,707.0,361.0,5.0,8.0,4.0,0.0,1063.0,648.0,4.0,43.0,1.0,0.0,11.0,1.0,1.0,1.0,0.0,0.0,32730.0,4961119.0,5.8999999999999995,22.1,16.7,51.5,68.5,27.500000000000004,0.5,1.6,0.1,1.7999999999999998,5.5,63.9,2236153.0,32165.0
south_dakota,1179.0,0.0,2490.0,3004.0,277.0,135.0,7.0,0.0,1.0,0.0,124.0,183.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,7406.0,865454.0,7.1,24.6,16.0,49.6,85.2,2.0,9.0,1.5,0.1,2.3,3.6999999999999997,82.5,383838.0,5686.0
tennessee,1915.0,11933.0,26276.0,16118.0,0.0,1374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,57653.0,6651194.0,6.1,22.6,15.7,51.2,78.7,17.1,0.4,1.7999999999999998,0.1,1.9,5.2,74.2,2919671.0,36157.0
texas,24634.0,0.0,50499.0,34266.0,4046.0,2698.0,0.0,50.0,19.0,2.0,6571.0,4219.0,33.0,67.0,2.0,1.0,45.0,49.0,3.0,3.0,0.0,0.0,127207.0,27862596.0,7.2,26.2,12.0,50.4,79.4,12.6,1.0,4.8,0.1,1.9,39.1,42.6,10753629.0,165853.0
utah,9754.0,19.0,3381.0,3328.0,276.0,102.0,0.0,0.0,0.0,0.0,238.0,313.0,0.0,118.0,40.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,17608.0,3051217.0,8.3,30.2,10.5,49.7,91.1,1.4,1.6,2.5,1.0,2.5,13.8,78.8,1054164.0,22662.0
vermont,0.0,0.0,1293.0,1201.0,117.0,57.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2674.0,624594.0,4.9,19.0,18.1,50.6,94.6,1.3,0.4,1.8,0.43043478260869567,1.9,1.9,93.1,329525.0,1771.0
virginia,1102.0,0.0,24671.0,16731.0,1064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43574.0,8411808.0,6.1,22.2,14.6,50.8,70.0,19.8,0.5,6.6,0.1,2.9,9.1,62.4,3491054.0,31132.0
washington,14111.0,2.0,15652.0,11536.0,2118.0,653.0,2.0,5.0,7.0,0.0,1290.0,1064.0,17.0,367.0,99.0,7.0,486.0,424.0,31.0,5.0,10.0,1.0,47887.0,7288000.0,6.2,22.4,14.8,50.0,80.0,4.1,1.9,8.6,0.8,4.6,12.4,69.5,3025685.0,44077.0
west_virginia,1992.0,0.0,6417.0,5134.0,313.0,403.0,8.0,6.0,7.0,0.0,1169.0,1313.0,0.0,9.0,4.0,0.0,10.0,5.0,1.0,0.0,0.0,0.0,16791.0,1831102.0,5.5,20.5,18.8,50.5,93.6,3.6,0.2,0.8,0.43043478260869567,1.7,1.5,92.3,886640.0,2544.0
wisconsin,14505.0,0.0,13182.0,9870.0,847.0,38.0,0.0,0.0,2.0,1.0,131.0,260.0,6.0,24.0,27.0,4.0,11.0,8.0,3.0,0.0,3.0,0.0,38922.0,5778708.0,5.8,22.3,16.1,50.3,87.5,6.6,1.1,2.8,0.1,1.9,6.7,81.7,2668444.0,19274.0
wyoming,597.0,0.0,1619.0,1769.0,131.0,99.0,2.0,0.0,5.0,0.0,157.0,205.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4585.0,585501.0,6.5,23.7,15.0,48.9,92.8,1.3,2.7,1.0,0.1,2.1,10.0,84.1,270600.0,1727.0
